sentiment,text
positive,Good solid well proven oil . Use it or Mobil 1.
positive,"Fit exactly around the bar with no issues.  I did have to place a small washer on bolt to take up some slack, but overall very pleased"
negative,"Gets in the way of the closing mechanism, preventing the power lift gate from closing. I returned this item and purchased another brand that fit better.  This was also more slippery than I had expected."
positive,"The jack stands will work as advertised, however, they arrived with numerous gouges in the steel and paint.  Cosmetically, they are one star, however, its a jack stand and bound to get damaged anyway."
positive,"I'm not a tech person so I couldn't tell you about its voltage, amps or etc. But all I can say is that the first time I used it, it couldn't have been any simpler or easier to use it.  The car of a friend at work couldn't start so I told him I had a portable battery. All I did was connect the supplied car battery cable to the portable battery and a blue light came on, once I connected the cable to the car's battery a green light came on and my friend then tried to turn on his vehicle and it started on his first try. It was that easy.  Forgot to mention before all of this happened I  had charged the battery almost 2 months ago and I had it in my car since then, so it looks like it keeps its charge for a long time. Very happy with this purchase and I would 100%  recommend this portable battery to anyone who doesn't want to get stranded in the middle of nowhere."
negative,"Super tiny, didn't stick well, feel off and list ot.  Very poor quality, the edge is cut very poorly."
positive,"tested today, it works perfectly. Just be sure to use a firm movement when you place the Tekton on the Tire valve. If you don't push enough some tire's air will be blown away from the tire. This is just common sense and you don't need to have experience to use it well."
positive,"We've had other snow brushes before, but they left a lot to be desired.  Usually by the second or third winter the plastic handle was busted off and useless.  These have an extendable metal handle, a brush that swivels (vertical or horizontal), and has amazing reach.  Also, the scraper is on the same end as the brush making it nice to just flip and scrape once the snow is off.  I expect these to last for many years to come.  Will update if it is like the others before it."
positive,excellent product.
positive,"Great product, I used Frost Guard before, & wore out my old cover (lasted 5 years). It’s heavy enough so it won’t blow away, easy to secure to car windshield."
positive,"Daughter-in-law loved it. It has bling, and she loves bling."
positive,"This is just so cool.  I need to greese one or two things once a while, so im not a professional with constant use. Small size very light weight is just perfect for a garage for seldom use.  Instructions are a bit useless but easy to figure out hiw to put the cartridge in.  Instructions dont say to remove foil seal from cartridge befire inserting it.  What is top and what is bottom of cartridge also missing.  Cartridge has a hard plastic rim around one end opening so you cant make a mistake as the rim end does not fit into tube.<br />With so little use, the small cartridge will least at least a year for me.<br />It is very essy to push the grease out no worries that trigger isnt very long.<br />I love it."
positive,So much better than the stem type.
positive,Perfect for power when you need it.
negative,Stopped working within a month.  This is my 2nd one!
positive,Fits perfectly.
positive,The size of the body is actually 14 inches. I was expecting about 20 inches. Used on 1976 silverado. Less money than local parts places. Sounds great.  It has a 2 1/2 inch inlet and outlet.
positive,"Great affordable upgrade/side-grade to stock. Look great and click/stay on well. Keep up with my turbo zx3 build and add a little more color under the hood. The labeling and lengths make it easy to install/re-install multiple times, so no matter how many times you have to tear things apart, you'll at least have your spark right. :)"
positive,Nice 👍
positive,Exactly what we needed.  No problems.
positive,"so far, makes my tractor start right up."
negative,"The good:<br />As described, seems to be a good price.<br />Easy to install: I’m a 24 year old female with little to no experience in cars, and managed this.<br /><br />The bad:<br />Glass seems flimsy, can’t withstand small rocks/ debris flying at it. Confirmed suspicions when at some point within a month of installation, one of them shattered and again needs replacing.<br /><br />Bottom line:<br />If you’re selling your car next week and want to spruce it up real quick, this is for you. If you have some sort of film you can put on the glass to prevent it from shattering, apply that, and send me one too for next time. :)"
